Sl. NO,Name of the Society,Milk_Production,Date
6,Mayakonda,30770,01-11-2021
6,Mayakonda,32782,01-12-2021
6,Mayakonda,31039,01-01-2022
6,Mayakonda,26184,01-02-2022
6,Mayakonda,31347,01-03-2022
6,Mayakonda,29339,01-04-2022
6,Mayakonda,31153,01-05-2022
6,Mayakonda,32076,01-06-2022
6,Mayakonda,30717,01-07-2022
6,Mayakonda,30156,01-08-2022
6,Mayakonda,28662,01-09-2022
6,Mayakonda,28152,01-10-2022
6,Mayakonda,28411,01-11-2022
6,Mayakonda,27505,01-12-2022
5,Mukthenahalli,40199,01-01-2021
5,Mukthenahalli,19989,01-02-2021
5,Mukthenahalli,41289,01-03-2021
5,Mukthenahalli,40197,01-04-2021
5,Mukthenahalli,80413,01-05-2021
5,Mukthenahalli,80833,01-06-2021
5,Mukthenahalli,79234,01-07-2021
5,Mukthenahalli,81832,01-08-2021
5,Mukthenahalli,11332,01-09-2021
5,Mukthenahalli,12050,01-10-2021
5,Mukthenahalli,10603,01-11-2021
5,Mukthenahalli,90632,01-12-2021
5,Mukthenahalli,80651,01-01-2022
5,Mukthenahalli,70717,01-02-2022
5,Mukthenahalli,80469,01-03-2022
5,Mukthenahalli,80364,01-04-2022
5,Mukthenahalli,90505,01-05-2022
5,Mukthenahalli,10847,01-06-2022
5,Mukthenahalli,11162,01-07-2022
5,Mukthenahalli,11319,01-08-2022
5,Mukthenahalli,12577,01-09-2022
5,Mukthenahalli,13908,01-10-2022
5,Mukthenahalli,13145,01-11-2022
5,Mukthenahalli,12307,01-12-2022
14,Muthasandra,24448,01-01-2021
14,Muthasandra,21414,01-02-2021
14,Muthasandra,22962,01-03-2021
14,Muthasandra,20964,01-04-2021
14,Muthasandra,21600,01-05-2021
14,Muthasandra,22713,01-06-2021
14,Muthasandra,23721,01-07-2021
14,Muthasandra,24748,01-08-2021
14,Muthasandra,26137,01-09-2021
14,Muthasandra,27451,01-10-2021
14,Muthasandra,25419,01-11-2021
14,Muthasandra,24965,01-12-2021
14,Muthasandra,21481,01-01-2022
14,Muthasandra,17136,01-02-2022
14,Muthasandra,1974,01-03-2022
14,Muthasandra,18051,01-04-2022
14,Muthasandra,19712,01-05-2022
14,Muthasandra,19461,01-06-2022
14,Muthasandra,19357,01-07-2022
14,Muthasandra,16437,01-08-2022
14,Muthasandra,14206,01-09-2022
14,Muthasandra,14432,01-10-2022
14,Muthasandra,13238,01-11-2022
14,Muthasandra,14831,01-12-2022
11,Naganakerekatte,34264,01-01-2021
11,Naganakerekatte,30060,01-02-2021
11,Naganakerekatte,29701,01-03-2021
11,Naganakerekatte,32971,01-04-2021
11,Naganakerekatte,32773,01-05-2021
11,Naganakerekatte,36095,01-06-2021
11,Naganakerekatte,36829,01-07-2021
11,Naganakerekatte,30249,01-08-2021
11,Naganakerekatte,34124,01-09-2021
11,Naganakerekatte,33963,01-10-2021
11,Naganakerekatte,28007,01-11-2021
11,Naganakerekatte,28543,01-12-2021
11,Naganakerekatte,28041,01-01-2022
11,Naganakerekatte,25670,01-02-2022
11,Naganakerekatte,32194,01-03-2022
11,Naganakerekatte,31921,01-04-2022
11,Naganakerekatte,34206,01-05-2022
11,Naganakerekatte,34321,01-06-2022
11,Naganakerekatte,35815,01-07-2022
11,Naganakerekatte,34413,01-08-2022
11,Naganakerekatte,31986,01-09-2022
11,Naganakerekatte,31451,01-10-2022
11,Naganakerekatte,28868,01-11-2022
11,Naganakerekatte,29640,01-12-2022
3,Nalkunda,4079,01-01-2021
3,Nalkunda,3324,01-02-2021
3,Nalkunda,3248,01-03-2021
3,Nalkunda,3529,01-04-2021
3,Nalkunda,4464,01-05-2021
3,Nalkunda,4203,01-06-2021
3,Nalkunda,4025,01-07-2021
3,Nalkunda,4598,01-08-2021
3,Nalkunda,4322,01-09-2021
3,Nalkunda,4350,01-10-2021
3,Nalkunda,4107,01-11-2021
3,Nalkunda,4210,01-12-2021
3,Nalkunda,3010,01-01-2022
3,Nalkunda,2509,01-02-2022
3,Nalkunda,2960,01-03-2022
3,Nalkunda,2921,01-04-2022
3,Nalkunda,2632,01-05-2022
3,Nalkunda,2767,01-06-2022
3,Nalkunda,2373,01-07-2022
3,Nalkunda,2464,01-08-2022
3,Nalkunda,3322,01-09-2022
3,Nalkunda,3088,01-10-2022
3,Nalkunda,3345,01-11-2022
3,Nalkunda,3387,01-12-2022
10,Nelkunte,19258,01-01-2021
10,Nelkunte,16090,01-02-2021
10,Nelkunte,17764,01-03-2021
10,Nelkunte,16849,01-04-2021
10,Nelkunte,21196,01-05-2021
10,Nelkunte,24055,01-06-2021
10,Nelkunte,21045,01-07-2021
10,Nelkunte,23834,01-08-2021
10,Nelkunte,23416,01-09-2021
10,Nelkunte,23448,01-10-2021
10,Nelkunte,23685,01-11-2021
10,Nelkunte,22947,01-12-2021
10,Nelkunte,22298,01-01-2022
10,Nelkunte,17884,01-02-2022
10,Nelkunte,19215,01-03-2022
10,Nelkunte,21771,01-04-2022
10,Nelkunte,27620,01-05-2022
10,Nelkunte,31041,01-06-2022
10,Nelkunte,29314,01-07-2022
10,Nelkunte,27312,01-08-2022
10,Nelkunte,26095,01-09-2022
10,Nelkunte,25956,01-10-2022
10,Nelkunte,23558,01-11-2022
10,Nelkunte,22265,01-12-2022
9,Silenahalli,17866,01-01-2021
9,Silenahalli,16243,01-02-2021
9,Silenahalli,17691,01-03-2021
9,Silenahalli,17939,01-04-2021
9,Silenahalli,19550,01-05-2021
9,Silenahalli,21433,01-06-2021
9,Silenahalli,20319,01-07-2021
9,Silenahalli,18731,01-08-2021
9,Silenahalli,17115,01-09-2021
9,Silenahalli,17602,01-10-2021
9,Silenahalli,16824,01-11-2021
9,Silenahalli,16690,01-12-2021
9,Silenahalli,15760,01-01-2022
9,Silenahalli,12542,01-02-2022
9,Silenahalli,14493,01-03-2022
9,Silenahalli,15388,01-04-2022
9,Silenahalli,20414,01-05-2022
9,Silenahalli,21777,01-06-2022
9,Silenahalli,20748,01-07-2022
9,Silenahalli,18046,01-08-2022
9,Silenahalli,16155,01-09-2022
9,Silenahalli,14998,01-10-2022
9,Silenahalli,12992,01-11-2022
9,Silenahalli,13049,01-12-2022
17,Srinivasapura,36702,01-01-2021
17,Srinivasapura,28688,01-02-2021
17,Srinivasapura,31209,01-03-2021
17,Srinivasapura,15076,01-04-2021
17,Srinivasapura,37785,01-05-2021
17,Srinivasapura,39766,01-06-2021
17,Srinivasapura,38591,01-07-2021
17,Srinivasapura,35872,01-08-2021
17,Srinivasapura,34962,01-09-2021
17,Srinivasapura,33611,01-10-2021
17,Srinivasapura,30657,01-11-2021
17,Srinivasapura,31561,01-12-2021
17,Srinivasapura,31347,01-01-2022
17,Srinivasapura,27773,01-02-2022
17,Srinivasapura,30915,01-03-2022
17,Srinivasapura,30190,01-04-2022
17,Srinivasapura,39476,01-05-2022
17,Srinivasapura,43896,01-06-2022
17,Srinivasapura,43154,01-07-2022
17,Srinivasapura,38175,01-08-2022
17,Srinivasapura,33393,01-09-2022
17,Srinivasapura,31951,01-10-2022
17,Srinivasapura,30727,01-11-2022
17,Srinivasapura,30406,01-12-2022
8,Thipuru,28759,01-01-2021
8,Thipuru,27226,01-02-2021
8,Thipuru,26819,01-03-2021
8,Thipuru,26784,01-04-2021
8,Thipuru,28660,01-05-2021
8,Thipuru,29580,01-06-2021
8,Thipuru,29434,01-07-2021
8,Thipuru,30525,01-08-2021
8,Thipuru,29347,01-09-2021
8,Thipuru,31516,01-10-2021
8,Thipuru,28609,01-11-2021
8,Thipuru,29301,01-12-2021
8,Thipuru,28617,01-01-2022
8,Thipuru,21826,01-02-2022
8,Thipuru,21543,01-03-2022
8,Thipuru,23570,01-04-2022
8,Thipuru,29649,01-05-2022
8,Thipuru,32642,01-06-2022
8,Thipuru,32819,01-07-2022
8,Thipuru,32689,01-08-2022
8,Thipuru,30096,01-09-2022
8,Thipuru,27437,01-10-2022
8,Thipuru,26462,01-11-2022
8,Thipuru,28154,01-12-2022
1,Yerechikkanahalli,28960,01-01-2021
1,Yerechikkanahalli,27511,01-02-2021
1,Yerechikkanahalli,32659,01-03-2021
1,Yerechikkanahalli,40714,01-04-2021
1,Yerechikkanahalli,44319,01-05-2021
1,Yerechikkanahalli,31762,01-06-2021
1,Yerechikkanahalli,35866,01-07-2021
1,Yerechikkanahalli,34188,01-08-2021
1,Yerechikkanahalli,36046,01-09-2021
1,Yerechikkanahalli,40665,01-10-2021
1,Yerechikkanahalli,37448,01-11-2021
1,Yerechikkanahalli,36188,01-12-2021
1,Yerechikkanahalli,29427,01-01-2022
1,Yerechikkanahalli,27683,01-02-2022
1,Yerechikkanahalli,32642,01-03-2022
1,Yerechikkanahalli,36583,01-04-2022
1,Yerechikkanahalli,41180,01-05-2022
1,Yerechikkanahalli,39528,01-06-2022
1,Yerechikkanahalli,38665,01-07-2022
1,Yerechikkanahalli,35769,01-08-2022
1,Yerechikkanahalli,35397,01-09-2022
1,Yerechikkanahalli,37712,01-10-2022
1,Yerechikkanahalli,33676,01-11-2022
1,Yerechikkanahalli,33221,01-12-2022
